SUBJECT,BUILDER,COMPILED,TESTS_PASS,ELAPSED_TIME
jna,Ant,False,False,0s
android-advancedrecyclerview,Gradle,False,False,0s
HTextView,Gradle,False,False,0s
FlyRefresh,Gradle,False,False,0s
Context-Menu.Android,Gradle,N/A,N/A,N/A
bottomsheet,Gradle,False,False,0s
weiciyuan,Gradle,False,False,0s
archi,Gradle,False,False,0s
Android-PickerView,Gradle,False,False,0s
javapoet,Maven,True,True,8s
FlycoTabLayout,Gradle,False,False,0s
ExplosionField,Gradle,N/A,N/A,N/A
jstorm,Maven,False,False,0s
joda-time,Maven,True,True,4s
SwipeMenuListView,Gradle,False,False,0s
hadoop,Maven,True,False,239m51s
FloatingActionButton,Gradle,N/A,N/A,N/A
AndResGuard,Gradle,False,False,0s
android-stackblur,Gradle,False,False,0s
mosby,Gradle,False,False,0s
eureka,Gradle,False,False,0s
Aeron,Gradle,False,False,0s
FreeFlow,Ant,False,False,0s
Nuwa,Gradle,False,False,0s
graylog2-server,Maven,True,True,3m28s
AndroidViewHover,Gradle,False,False,0s
CoreNLP,Ant,False,False,0s
parceler,Maven,True,True,5s
GalleryFinal,Gradle,False,False,0s
NavigationTabBar,Gradle,N/A,N/A,N/A
spring-mvc-showcase,Maven,True,True,17s
HoloEverywhere,Maven,False,False,0s
sticky-headers-recyclerview,Gradle,False,False,0s
dex2jar,Maven,True,True,16s
emojicon,Gradle,False,False,0s
pysonar2,Maven,True,True,1s
yuicompressor,Ant,False,False,0s
android-process-button,Gradle,N/A,N/A,N/A
DraggablePanel,Gradle,False,False,0s
richeditor-android,Gradle,False,False,0s
pinpoint,Maven,False,False,0s
ansj_seg,Maven,False,False,0s
JamsMusicPlayer,Gradle,N/A,N/A,N/A
Android-IMSI-Catcher-Detector,Gradle,False,False,0s
android-betterpickers,Gradle,False,False,0s
RxLifecycle,Gradle,False,False,0s
nanohttpd,Maven,True,True,43s
ideavim,Gradle,False,False,0s
mapdb,Maven,True,False,10m6s
Douya,Gradle,False,False,0s
cropper,Gradle,False,False,0s
SuperRecyclerView,Gradle,False,False,0s
JieCaoVideoPlayer,Gradle,False,False,0s
android-autofittextview,Gradle,False,False,0s
Android-SpinKit,Gradle,False,False,0s
pinned-section-listview,Gradle,False,False,0s
barcodescanner,Gradle,False,False,0s
StylishMusicPlayer,Gradle,False,False,0s
BGARefreshLayout-Android,Gradle,False,False,0s
android-percent-support-lib-sample,Gradle,False,False,0s
moshi,Maven,True,True,3s
jsonschema2pojo,Maven,True,True,28s
zookeeper,Ant,False,False,0s
material-menu,Gradle,False,False,0s
glide-transformations,Gradle,False,False,0s
RecyclerViewItemAnimators,Gradle,False,False,0s
Android-Iconics,Gradle,False,False,0s
grpc-java,Gradle,False,False,0s
folding-cell-android,Gradle,False,False,0s
Blurry,Gradle,False,False,0s
hibernate-orm,Gradle,False,False,0s
LoadingDrawable,Gradle,False,False,0s
okhttp-OkGo,Gradle,N/A,N/A,N/A
h2o-2,Maven,True,True,6s
dex-method-counts,Ant,False,False,0s
animate,Gradle,False,False,0s
zeppelin,Maven,True,False,2m6s
motan,Maven,True,True,38s
AndroidWiFiADB,Gradle,False,False,0s
storio,Gradle,False,False,0s
distributedlog,Maven,True,False,7m7s
ViewInspector,Gradle,False,False,0s
android-styled-dialogs,Gradle,False,False,0s
ProgressWheel,Ant,False,False,0s
ticker,Gradle,False,False,0s
9GAG,Gradle,False,False,0s
SuperToasts,Gradle,False,False,0s
http-request,Maven,True,True,2s
ShortcutBadger,Gradle,False,False,0s
Android-Week-View,Gradle,N/A,N/A,N/A
GuillotineMenu-Android,Gradle,False,False,0s
Timber,Gradle,False,False,0s
JsBridge,Gradle,False,False,0s
android-saripaar,Gradle,N/A,N/A,N/A
binnavi,Maven,False,False,0s
TextDrawable,Gradle,False,False,0s
androidquery,Maven,True,True,1s
SeeWeather,Gradle,N/A,N/A,N/A
Conversations,Gradle,False,False,0s
material-calendarview,Gradle,False,False,0s
reark,Gradle,False,False,0s
grails-core,Gradle,False,False,0s
twitter4j,Maven,True,False,3s
StepView,Gradle,False,False,0s
CircleProgress,Gradle,False,False,0s
sugar,Gradle,False,False,0s
RxPermissions,Gradle,False,False,0s
flow,Gradle,False,False,0s
philm,Gradle,False,False,0s
packer-ng-plugin,Gradle,False,False,0s
StickerCamera,Gradle,False,False,0s
cas,Gradle,False,False,0s
android,Gradle,False,False,0s
LitePal,Gradle,False,False,0s
AndroidPerformanceMonitor,Gradle,False,False,0s
materialish-progress,Gradle,False,False,0s
airpal,Gradle,False,False,0s
ShineButton,Gradle,False,False,0s
Android-ConvenientBanner,Gradle,False,False,0s
Dexter,Gradle,False,False,0s
robotium,Maven,True,True,1s
scalpel,Gradle,False,False,0s
mortar,Gradle,False,False,0s
NiftyDialogEffects,Gradle,N/A,N/A,N/A
StatusBarUtil,Gradle,False,False,0s
TourGuide,Gradle,False,False,0s
canal,Maven,True,True,1s
android-common,Maven,True,True,3s
MultiImageSelector,Gradle,False,False,0s
RecyclerViewPager,Gradle,N/A,N/A,N/A
ViewServer,Gradle,False,False,0s
voldemort,Ant,False,False,0s
material-icon-lib,Gradle,N/A,N/A,N/A
MaterialDateTimePicker,Gradle,False,False,0s
